Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
empathetic_dialogue,empathetic_dialogue,31.56,39.24,46.15,48.94,38.57,47.98,44.41,37.51,43.89,42.03,38.8,34.27,35.35,34.36,37.42,39.4,42.69,47.45,48.12,47.75,45.35,41.52,37.81,29.86,16.96,21.57
empathetic_dialogue,math,20.94,25.47,33.17,37.73,25.0,35.44,31.35,20.29,27.08,25.59,25.61,20.11,24.15,21.17,25.59,26.59,27.25,32.23,32.09,33.26,30.97,27.33,24.6,16.91,6.84,10.52
empathetic_dialogue,mmlu,28.73,35.08,43.08,47.17,35.93,45.94,42.1,33.51,40.05,38.31,36.01,31.02,33.07,31.03,34.81,36.38,38.54,43.87,44.54,44.24,41.3,37.07,33.4,24.73,12.05,16.49
empathetic_dialogue,programming,28.47,33.25,42.22,46.56,35.38,45.38,41.31,31.99,38.21,36.28,34.78,29.64,31.87,29.95,33.76,35.61,36.49,42.27,42.38,42.13,39.14,35.0,31.35,22.71,10.53,15.06
math,math,34.58,41.22,51.08,56.35,42.61,55.12,52.12,39.87,46.6,45.79,46.96,40.31,46.3,41.88,47.17,48.08,47.03,51.58,50.74,52.53,48.65,44.35,41.41,28.37,13.55,17.3
math,mmlu,30.54,36.68,46.51,52.35,37.83,50.22,46.62,34.34,41.58,40.4,40.85,34.14,39.85,35.2,40.94,41.99,41.45,46.75,46.17,48.36,44.56,40.17,37.18,24.66,10.81,14.34
math,programming,30.93,36.0,46.7,52.6,38.67,51.28,48.07,35.05,42.35,41.14,42.74,36.38,42.38,37.75,43.2,44.1,42.12,47.18,45.48,46.95,43.02,38.28,35.01,23.19,10.21,13.82
mmlu,mmlu,50.65,67.67,72.1,72.75,61.79,70.83,68.04,63.22,69.07,66.64,61.65,56.6,58.26,55.34,59.53,63.17,65.92,70.34,72.18,73.45,70.06,66.66,63.87,48.19,28.44,32.33
mmlu,programming,42.25,51.56,61.91,65.9,53.42,64.25,60.6,50.57,57.04,54.65,53.0,47.23,50.57,46.99,52.05,54.75,53.71,59.84,59.45,60.13,55.44,50.32,46.56,31.85,15.4,20.07
programming,programming,49.81,61.75,71.21,72.97,62.49,72.42,69.49,61.23,66.27,64.11,62.12,57.29,59.93,56.99,61.34,64.45,63.06,68.43,66.96,67.46,62.91,58.18,54.44,39.32,21.37,26.46
