Type,Layer,Class1,Class2,Pearson_Correlation,Spearman_Correlation,Cosine_Similarity,Jaccard_Similarity,Pearson_r,Spearman_rho
res,0,empathetic_dialogue,empathetic_dialogue,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0000000000000004,1.0,1.0,1.0
res,0,empathetic_dialogue,math,"PearsonRResult(statistic=0.6168497451416401, pvalue=0.0)","(0.505007342816825, 0.0)",0.6198039115593825,0.12489054423837033,0.6168497451416401,0.505007342816825
res,0,empathetic_dialogue,mmlu,"PearsonRResult(statistic=0.8102138058983064, pvalue=0.0)","(0.6460086422185757, 0.0)",0.8113777249697063,0.2700212780023653,0.8102138058983064,0.6460086422185757
res,0,empathetic_dialogue,programming,"PearsonRResult(statistic=0.46599809805697046, pvalue=0.0)","(0.6152040319815749, 0.0)",0.47073536439997976,0.13155491703869704,0.46599809805697046,0.6152040319815749
res,0,math,empathetic_dialogue,"PearsonRResult(statistic=0.6168497451416401, pvalue=0.0)","(0.5050073428168249, 0.0)",0.6198039115593825,0.12489054423837033,0.6168497451416401,0.5050073428168249
res,0,math,math,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",0.9999999999999999,1.0,1.0,1.0
res,0,math,mmlu,"PearsonRResult(statistic=0.7487294818211694, pvalue=0.0)","(0.6400559981054723, 0.0)",0.7518861806064914,0.2774507784825768,0.7487294818211694,0.6400559981054723
res,0,math,programming,"PearsonRResult(statistic=0.6410023582649744, pvalue=0.0)","(0.7115809632239932, 0.0)",0.646210674057366,0.30238672079774587,0.6410023582649744,0.7115809632239932
res,0,mmlu,empathetic_dialogue,"PearsonRResult(statistic=0.8102138058983065, pvalue=0.0)","(0.6460086422185758, 0.0)",0.8113777249697063,0.2700212780023653,0.8102138058983065,0.6460086422185758
res,0,mmlu,math,"PearsonRResult(statistic=0.7487294818211694, pvalue=0.0)","(0.6400559981054723, 0.0)",0.7518861806064914,0.2774507784825768,0.7487294818211694,0.6400559981054723
res,0,mmlu,mmlu,"PearsonRResult(statistic=1.0, pvalue=0.0)","(0.9999999999999998, 0.0)",1.0000000000000004,1.0,1.0,0.9999999999999998
res,0,mmlu,programming,"PearsonRResult(statistic=0.6925533712439907, pvalue=0.0)","(0.7636043083358972, 0.0)",0.6969020517079976,0.3061669378506011,0.6925533712439907,0.7636043083358972
res,0,programming,empathetic_dialogue,"PearsonRResult(statistic=0.4659980980569704, pvalue=0.0)","(0.6152040319815749, 0.0)",0.47073536439997976,0.13155491703869704,0.4659980980569704,0.6152040319815749
res,0,programming,math,"PearsonRResult(statistic=0.6410023582649743, pvalue=0.0)","(0.7115809632239931, 0.0)",0.646210674057366,0.30238672079774587,0.6410023582649743,0.7115809632239931
res,0,programming,mmlu,"PearsonRResult(statistic=0.6925533712439906, pvalue=0.0)","(0.7636043083358971, 0.0)",0.6969020517079976,0.3061669378506011,0.6925533712439906,0.7636043083358971
res,0,programming,programming,"PearsonRResult(statistic=0.9999999999999999, pvalue=0.0)","(1.0, 0.0)",0.9999999999999998,1.0,0.9999999999999999,1.0
