Type,Layer,Class1,Class2,ActivationPercentage
res,0,empathetic_dialogue,empathetic_dialogue,49.27978515625
res,0,empathetic_dialogue,math,37.0361328125
res,0,empathetic_dialogue,mmlu,47.35107421875
res,0,empathetic_dialogue,programming,45.684814453125
res,0,math,math,52.8564453125
res,0,math,mmlu,49.52392578125
res,0,math,programming,48.81591796875
res,0,mmlu,mmlu,73.516845703125
res,0,mmlu,programming,63.897705078125
res,0,programming,programming,69.244384765625
res,1,empathetic_dialogue,empathetic_dialogue,40.240478515625
res,1,empathetic_dialogue,math,28.497314453125
res,1,empathetic_dialogue,mmlu,37.95166015625
res,1,empathetic_dialogue,programming,36.175537109375
res,1,math,math,43.328857421875
res,1,math,mmlu,39.837646484375
res,1,math,programming,39.093017578125
res,1,mmlu,mmlu,62.945556640625
res,1,mmlu,programming,52.44140625
res,1,programming,programming,58.43505859375
res,2,empathetic_dialogue,empathetic_dialogue,40.899658203125
res,2,empathetic_dialogue,math,29.8095703125
res,2,empathetic_dialogue,mmlu,38.714599609375
res,2,empathetic_dialogue,programming,37.249755859375
res,2,math,math,45.44677734375
res,2,math,mmlu,41.69921875
res,2,math,programming,40.985107421875
res,2,mmlu,mmlu,63.482666015625
res,2,mmlu,programming,53.692626953125
res,2,programming,programming,60.7177734375
res,3,empathetic_dialogue,empathetic_dialogue,43.328857421875
res,3,empathetic_dialogue,math,31.55517578125
res,3,empathetic_dialogue,mmlu,41.290283203125
res,3,empathetic_dialogue,programming,39.788818359375
res,3,math,math,49.6337890625
res,3,math,mmlu,45.22705078125
res,3,math,programming,45.12939453125
res,3,mmlu,mmlu,68.695068359375
res,3,mmlu,programming,58.82568359375
res,3,programming,programming,66.583251953125
res,4,empathetic_dialogue,empathetic_dialogue,37.786865234375
res,4,empathetic_dialogue,math,26.385498046875
res,4,empathetic_dialogue,mmlu,35.51025390625
res,4,empathetic_dialogue,programming,34.24072265625
res,4,math,math,42.376708984375
res,4,math,mmlu,38.079833984375
res,4,math,programming,37.841796875
res,4,mmlu,mmlu,59.075927734375
res,4,mmlu,programming,49.69482421875
res,4,programming,programming,57.67822265625
res,5,empathetic_dialogue,empathetic_dialogue,38.75732421875
res,5,empathetic_dialogue,math,27.77099609375
res,5,empathetic_dialogue,mmlu,36.962890625
res,5,empathetic_dialogue,programming,35.626220703125
res,5,math,math,45.2392578125
res,5,math,mmlu,40.66162109375
res,5,math,programming,41.02783203125
res,5,mmlu,mmlu,62.109375
res,5,mmlu,programming,53.3447265625
res,5,programming,programming,61.7919921875
res,6,empathetic_dialogue,empathetic_dialogue,36.29150390625
res,6,empathetic_dialogue,math,25.665283203125
res,6,empathetic_dialogue,mmlu,34.527587890625
res,6,empathetic_dialogue,programming,33.282470703125
res,6,math,math,43.798828125
res,6,math,mmlu,39.239501953125
res,6,math,programming,39.6484375
res,6,mmlu,mmlu,60.577392578125
res,6,mmlu,programming,51.824951171875
res,6,programming,programming,60.565185546875
res,7,empathetic_dialogue,empathetic_dialogue,32.51953125
res,7,empathetic_dialogue,math,21.246337890625
res,7,empathetic_dialogue,mmlu,30.169677734375
res,7,empathetic_dialogue,programming,28.271484375
res,7,math,math,39.764404296875
res,7,math,mmlu,34.77783203125
res,7,math,programming,34.979248046875
res,7,mmlu,mmlu,57.6171875
res,7,mmlu,programming,46.380615234375
res,7,programming,programming,55.010986328125
res,8,empathetic_dialogue,empathetic_dialogue,33.11767578125
res,8,empathetic_dialogue,math,21.258544921875
res,8,empathetic_dialogue,mmlu,30.242919921875
res,8,empathetic_dialogue,programming,28.3447265625
res,8,math,math,39.422607421875
res,8,math,mmlu,34.38720703125
res,8,math,programming,34.77783203125
res,8,mmlu,mmlu,58.349609375
res,8,mmlu,programming,46.25244140625
res,8,programming,programming,55.322265625
res,9,empathetic_dialogue,empathetic_dialogue,32.086181640625
res,9,empathetic_dialogue,math,19.793701171875
res,9,empathetic_dialogue,mmlu,29.144287109375
