Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
empathetic_dialogue,empathetic_dialogue,32,39,46,49,39,48,44,38,44,42,39,34,35,34,37,39,43,47,48,48,45,42,38,30,17,22
empathetic_dialogue,math,21,25,33,38,25,35,31,20,27,26,26,20,24,21,26,27,27,32,32,33,31,27,25,17,7,11
empathetic_dialogue,mmlu,29,35,43,47,36,46,42,34,40,38,36,31,33,31,35,36,39,44,45,44,41,37,33,25,12,16
empathetic_dialogue,programming,28,33,42,47,35,45,41,32,38,36,35,30,32,30,34,36,36,42,42,42,39,35,31,23,11,15
math,math,35,41,51,56,43,55,52,40,47,46,47,40,46,42,47,48,47,52,51,53,49,44,41,28,14,17
math,mmlu,31,37,47,52,38,50,47,34,42,40,41,34,40,35,41,42,41,47,46,48,45,40,37,25,11,14
math,programming,31,36,47,53,39,51,48,35,42,41,43,36,42,38,43,44,42,47,45,47,43,38,35,23,10,14
mmlu,mmlu,51,68,72,73,62,71,68,63,69,67,62,57,58,55,60,63,66,70,72,73,70,67,64,48,28,32
mmlu,programming,42,52,62,66,53,64,61,51,57,55,53,47,51,47,52,55,54,60,59,60,55,50,47,32,15,20
programming,programming,50,62,71,73,62,72,69,61,66,64,62,57,60,57,61,64,63,68,67,67,63,58,54,39,21,26
