Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean
abstract_algebra,anatomy,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0.65
abstract_algebra,astronomy,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,1,0.88
abstract_algebra,business_ethics,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,1,0.88
abstract_algebra,clinical_knowledge,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.73
abstract_algebra,college_biology,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0.92
abstract_algebra,college_chemistry,2,2,3,2,2,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1.08
abstract_algebra,college_computer_science,2,3,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,1,1.81
abstract_algebra,college_mathematics,2,3,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,2,1.85
abstract_algebra,college_medicine,2,2,4,2,2,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,2,2,1,1.19
abstract_algebra,computer_security,2,2,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1.0
abstract_algebra,conceptual_physics,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0.77
abstract_algebra,econometrics,2,2,3,3,2,1,2,1,1,0,0,1,0,1,0,1,1,1,2,1,1,1,2,2,2,1,1.31
abstract_algebra,electrical_engineering,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0.92
abstract_algebra,elementary_mathematics,1,2,3,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,2,1,1.04
abstract_algebra,formal_logic,1,2,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0.96
abstract_algebra,global_facts,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.73
abstract_algebra,high_school_biology,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0.92
abstract_algebra,high_school_chemistry,2,2,3,2,2,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1.12
abstract_algebra,high_school_computer_science,2,2,4,3,2,1,2,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1.46
abstract_algebra,high_school_european_history,2,2,4,3,2,1,2,1,1,0,0,0,1,1,0,1,1,1,2,1,1,1,2,2,2,1,1.35
abstract_algebra,high_school_geography,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0.73
abstract_algebra,high_school_government_and_politics,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.69
abstract_algebra,high_school_macroeconomics,1,1,2,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.85
abstract_algebra,high_school_mathematics,2,2,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1.65
abstract_algebra,high_school_microeconomics,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,1,0.88
abstract_algebra,high_school_physics,2,2,3,2,2,1,2,1,1,0,0,1,0,1,0,1,1,1,2,1,1,1,2,2,2,1,1.27
abstract_algebra,high_school_psychology,1,2,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0.96
abstract_algebra,high_school_statistics,2,2,4,3,2,1,2,1,1,0,1,1,0,1,0,1,1,1,2,1,1,2,2,2,2,1,1.42
abstract_algebra,high_school_us_history,2,2,4,3,2,1,2,1,0,0,0,0,0,1,0,1,1,1,2,1,1,1,2,2,2,1,1.27
abstract_algebra,high_school_world_history,2,2,4,3,2,1,2,1,1,0,0,1,1,1,0,1,1,1,2,1,1,2,2,2,3,1,1.46
abstract_algebra,human_aging,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0.65
abstract_algebra,human_sexuality,1,1,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,0.81
abstract_algebra,international_law,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0.65
abstract_algebra,jurisprudence,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,0.77
abstract_algebra,logical_fallacies,1,1,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.81
abstract_algebra,machine_learning,2,2,4,3,2,2,2,1,1,0,0,1,0,1,0,1,1,1,2,1,1,2,2,2,2,1,1.42
abstract_algebra,management,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0.62
abstract_algebra,marketing,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,1,0.88
