Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean
abstract_algebra,anatomy,1,1,2,2,0,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.0
abstract_algebra,astronomy,1,2,2,2,1,2,1,0,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1.27
abstract_algebra,business_ethics,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,0,0,1.38
abstract_algebra,clinical_knowledge,1,1,2,2,0,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.0
abstract_algebra,college_biology,1,2,2,3,1,2,2,0,1,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,0,1.58
abstract_algebra,college_chemistry,2,2,3,3,1,3,2,1,1,2,3,2,3,3,3,3,2,2,2,2,2,2,2,1,0,1,2.04
abstract_algebra,college_computer_science,3,3,4,5,3,5,4,2,3,4,5,4,5,4,5,5,4,4,4,4,3,3,3,2,1,1,3.58
abstract_algebra,college_mathematics,3,3,4,5,2,4,4,2,3,3,4,3,5,4,4,4,4,3,4,4,3,3,3,2,1,1,3.27
abstract_algebra,college_medicine,2,2,3,3,1,3,3,1,1,2,3,2,4,3,3,3,2,2,2,2,2,2,2,1,0,1,2.12
abstract_algebra,computer_security,2,2,3,3,1,2,2,1,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,0,0,1.85
abstract_algebra,conceptual_physics,1,1,2,2,1,2,2,0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.23
abstract_algebra,econometrics,2,2,3,4,2,4,3,1,2,3,3,2,4,3,4,3,3,3,2,2,2,2,2,1,0,1,2.42
abstract_algebra,electrical_engineering,1,2,2,3,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1.54
abstract_algebra,elementary_mathematics,2,2,3,3,1,2,2,1,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,0,1,1.88
abstract_algebra,formal_logic,1,2,2,3,1,2,2,1,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,0,0,1.77
abstract_algebra,global_facts,1,1,2,2,0,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.0
abstract_algebra,high_school_biology,1,2,2,3,1,2,2,1,1,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,0,1.62
abstract_algebra,high_school_chemistry,2,2,3,3,1,3,2,1,1,2,3,2,3,2,3,3,2,2,2,2,2,2,2,1,0,0,1.96
abstract_algebra,high_school_computer_science,2,3,4,4,2,4,3,1,2,3,4,3,4,3,4,4,3,3,3,3,3,2,2,1,1,1,2.77
abstract_algebra,high_school_european_history,2,2,3,4,2,4,3,1,2,2,4,2,4,3,4,3,3,3,2,2,2,2,2,1,0,1,2.42
abstract_algebra,high_school_geography,1,1,2,2,1,2,1,0,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.12
abstract_algebra,high_school_government_and_politics,1,1,2,2,0,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.0
abstract_algebra,high_school_macroeconomics,1,2,2,2,1,2,2,0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.27
abstract_algebra,high_school_mathematics,2,3,4,4,2,4,4,2,3,3,4,3,4,3,4,4,3,3,3,3,3,3,2,1,1,1,2.92
abstract_algebra,high_school_microeconomics,1,2,2,3,1,2,2,1,1,2,2,2,3,2,2,2,2,2,2,1,1,1,2,1,0,0,1.62
abstract_algebra,high_school_physics,2,2,3,4,1,3,3,1,2,2,3,2,4,3,3,3,3,3,2,2,2,2,2,1,0,1,2.27
abstract_algebra,high_school_psychology,1,2,2,2,1,2,2,0,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1.38
abstract_algebra,high_school_statistics,2,2,3,4,1,3,3,1,2,3,3,2,4,3,4,3,3,3,3,2,2,2,2,1,1,1,2.42
abstract_algebra,high_school_us_history,2,2,3,4,1,3,3,1,2,2,3,2,4,3,3,3,3,2,2,2,2,2,2,1,0,1,2.23
abstract_algebra,high_school_world_history,2,2,4,4,2,4,3,1,2,3,4,3,4,3,4,4,3,3,3,2,2,2,2,1,0,1,2.62
abstract_algebra,human_aging,1,1,2,1,0,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0.96
abstract_algebra,human_sexuality,1,1,2,2,1,2,1,0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.19
abstract_algebra,international_law,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.81
abstract_algebra,jurisprudence,1,2,2,2,1,2,1,0,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.15
abstract_algebra,logical_fallacies,1,1,2,2,1,2,1,0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.19
abstract_algebra,machine_learning,2,3,4,4,2,4,4,1,2,3,4,3,4,3,4,4,3,3,3,3,3,2,2,1,1,1,2.81
abstract_algebra,management,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.85
abstract_algebra,marketing,2,2,2,2,1,2,2,0,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1.46
abstract_algebra,medical_genetics,1,1,2,2,1,2,1,0,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1.23
abstract_algebra,miscellaneous,1,1,2,2,1,2,1,0,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,0,0,1.15
abstract_algebra,moral_disputes,1,1,2,2,1,1,1,0,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,0,0,1.08
abstract_algebra,moral_scenarios,1,1,1,2,0,1,1,0,0,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0.92
abstract_algebra,nutrition,1,1,2,2,0,1,1,0,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.04
abstract_algebra,philosophy,1,1,2,2,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.04
abstract_algebra,prehistory,1,1,2,2,0,1,1,0,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1.04
abstract_algebra,professional_accounting,2,2,3,3,1,3,2,1,1,2,3,2,3,2,3,3,2,2,2,2,2,2,2,1,0,1,2.0
abstract_algebra,professional_law,2,2,3,4,1,3,3,1,2,2,3,2,4,3,4,3,3,2,2,2,2,2,2,1,0,1,2.27
abstract_algebra,professional_medicine,2,2,3,4,1,3,3,1,1,2,3,2,3,3,3,3,2,2,2,2,2,2,2,1,0,1,2.12
abstract_algebra,professional_psychology,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1.46
abstract_algebra,public_relations,1,2,2,2,1,2,1,0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1.23
abstract_algebra,security_studies,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.85
