Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean
abstract_algebra,anatomy,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
abstract_algebra,astronomy,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.38
abstract_algebra,business_ethics,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.31
abstract_algebra,clinical_knowledge,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19
abstract_algebra,college_biology,3,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1.62
abstract_algebra,college_chemistry,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.15
abstract_algebra,college_computer_science,5,3,5,5,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3.38
abstract_algebra,college_mathematics,4,3,4,5,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3.19
abstract_algebra,college_medicine,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.23
abstract_algebra,computer_security,3,2,3,3,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1.88
abstract_algebra,conceptual_physics,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.19
abstract_algebra,econometrics,3,2,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2.35
abstract_algebra,electrical_engineering,3,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1.62
abstract_algebra,elementary_mathematics,3,2,3,3,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1.88
abstract_algebra,formal_logic,3,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1.85
abstract_algebra,global_facts,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19
abstract_algebra,high_school_biology,3,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1.5
abstract_algebra,high_school_chemistry,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.12
abstract_algebra,high_school_computer_science,4,3,4,4,3,3,4,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,2,2,1,2.73
abstract_algebra,high_school_european_history,4,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.31
abstract_algebra,high_school_geography,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.15
abstract_algebra,high_school_government_and_politics,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.12
abstract_algebra,high_school_macroeconomics,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27
abstract_algebra,high_school_mathematics,4,3,4,4,3,4,4,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,1,2.92
abstract_algebra,high_school_microeconomics,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1.46
abstract_algebra,high_school_physics,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.15
abstract_algebra,high_school_psychology,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1.54
abstract_algebra,high_school_statistics,4,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.23
abstract_algebra,high_school_us_history,4,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.31
abstract_algebra,high_school_world_history,5,3,4,4,3,4,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2.5
abstract_algebra,human_aging,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
abstract_algebra,human_sexuality,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27
abstract_algebra,international_law,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
abstract_algebra,jurisprudence,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.23
abstract_algebra,logical_fallacies,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.23
abstract_algebra,machine_learning,4,3,4,4,3,4,4,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,2,1,2.85
abstract_algebra,management,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.04
abstract_algebra,marketing,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1.42
abstract_algebra,medical_genetics,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.23
abstract_algebra,miscellaneous,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.23
abstract_algebra,moral_disputes,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.19
abstract_algebra,moral_scenarios,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.12
abstract_algebra,nutrition,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27
abstract_algebra,philosophy,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.15
abstract_algebra,prehistory,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.23
abstract_algebra,professional_accounting,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.12
abstract_algebra,professional_law,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.23
abstract_algebra,professional_medicine,4,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2.27
abstract_algebra,professional_psychology,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.38
abstract_algebra,public_relations,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27
abstract_algebra,security_studies,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
abstract_algebra,sociology,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.12
abstract_algebra,us_foreign_policy,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
abstract_algebra,virology,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.27
abstract_algebra,world_religions,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.08
afraid,angry,7,5,6,6,6,6,5,4,4,4,4,3,3,3,4,3,4,5,5,5,6,6,5,5,5,3,4.69
afraid,annoyed,6,5,6,6,6,6,5,4,4,4,4,3,3,3,3,3,4,5,5,5,6,6,5,5,5,3,4.62
afraid,anticipating,6,5,6,6,5,5,5,4,4,4,3,3,3,3,3,3,4,4,4,5,5,5,5,5,4,3,4.31
afraid,anxious,6,5,6,6,5,6,5,4,4,4,3,3,3,3,3,3,4,5,5,5,5,5,5,5,4,3,4.42
afraid,apprehensive,7,5,7,7,6,6,6,4,4,4,4,4,3,3,4,4,5,5,5,6,6,6,6,5,5,3,5.0
afraid,ashamed,7,5,6,6,6,6,6,4,4,4,4,4,3,3,4,3,4,5,5,5,6,5,5,5,5,3,4.73
afraid,caring,6,5,6,6,5,5,5,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,4,3,4.35
afraid,confident,5,4,5,5,5,5,5,3,3,3,3,3,3,2,3,3,4,4,4,4,5,4,4,4,4,3,3.85
afraid,content,6,5,6,6,5,5,5,4,4,4,3,3,3,3,3,3,4,4,4,5,5,5,5,5,4,3,4.31
afraid,devastated,6,5,6,6,5,5,5,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,4,3,4.35
afraid,disappointed,6,5,6,6,5,6,5,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,4,3,4.38
afraid,disgusted,6,5,6,6,5,6,5,4,4,4,4,3,3,3,4,3,4,5,5,5,5,5,5,5,4,3,4.5
afraid,embarrassed,6,5,6,6,6,6,5,4,4,4,4,3,3,3,4,3,4,5,5,5,5,6,5,5,4,3,4.58
afraid,excited,5,4,5,5,5,5,4,3,3,3,3,3,3,2,3,3,3,4,4,4,5,4,4,4,4,3,3.77
afraid,faithful,6,5,6,6,5,6,5,4,4,4,3,3,3,3,4,3,4,5,5,5,5,5,5,5,4,3,4.46
