Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean
empathetic_dialogue,empathetic_dialogue,49,40,41,43,38,39,36,33,33,32,30,28,26,25,27,26,32,35,38,39,39,38,38,37,32,24,34.54
empathetic_dialogue,math,37,28,30,32,26,28,26,21,21,20,19,17,16,15,17,16,19,22,23,25,25,24,24,23,19,11,22.46
empathetic_dialogue,mmlu,47,38,39,41,36,37,35,30,30,29,27,25,23,22,24,23,28,31,34,35,35,34,33,32,27,18,31.27
empathetic_dialogue,programming,46,36,37,40,34,36,33,28,28,27,26,23,22,21,23,22,26,29,32,33,33,32,31,30,25,17,29.62
math,math,53,43,45,50,42,45,44,40,39,38,38,36,36,35,37,35,38,40,41,43,43,41,42,41,33,20,39.92
math,mmlu,50,40,42,45,38,41,39,35,34,33,33,31,30,29,30,29,32,35,36,38,38,36,37,36,28,16,35.04
math,programming,49,39,41,45,38,41,40,35,35,34,33,32,32,30,33,31,33,36,37,38,38,36,37,35,28,15,35.42
mmlu,mmlu,74,63,63,69,59,62,61,58,58,58,56,55,52,51,52,50,56,59,61,62,62,61,62,61,53,38,58.31
mmlu,programming,64,52,54,59,50,53,52,46,46,45,44,42,41,39,42,40,43,47,49,50,49,47,47,46,38,23,46.46
programming,programming,69,58,61,67,58,62,61,55,55,54,54,52,52,50,54,51,53,56,58,60,58,57,57,55,47,32,55.62
