Type,Layer,Class1,Class2,Pearson_Correlation,Spearman_Correlation,Cosine_Similarity,Jaccard_Similarity,Dice_Coefficient
res,0,empathetic_dialogue,math,0.6167377261037598,0.4888566141035198,0.6198039115593823,0.12489054423837033,0.22204923826243017
res,0,empathetic_dialogue,mmlu,0.8101697903637963,0.632394562313435,0.8113777249697062,0.2700212780023653,0.4252232347273514
res,0,empathetic_dialogue,programming,0.41598035436492287,0.6237118046534462,0.42149822332226256,0.040137948520174146,0.07717812541553597
res,0,math,mmlu,0.7486092296560655,0.6252914674631851,0.7518861806064915,0.2774507784825768,0.4343819474784734
res,0,math,programming,0.5875241452151616,0.7225306815072841,0.5937597713753048,0.12542316186049035,0.2228906710132878
res,0,mmlu,programming,0.641783025529032,0.7828125701426011,0.6470748778795149,0.0937804233716219,0.1714794329240964
res,1,empathetic_dialogue,math,0.9764622320716784,0.48198733311033587,0.9764801859898902,0.15315224056907004,0.2656236274466081
res,1,empathetic_dialogue,mmlu,0.9877304759698861,0.6188627682722894,0.9877393837501237,0.29791155252272744,0.4590629491565617
res,1,empathetic_dialogue,programming,0.9814666043506993,0.6186782014947425,0.9814798389369871,0.041229385624096546,0.07919366509116395
res,1,math,mmlu,0.9880259479503833,0.6187614509673567,0.9880352987384537,0.3368888639831714,0.5039893338320337
res,1,math,programming,0.9885094359254808,0.7031277426571376,0.9885171281921273,0.1307083933251072,0.23119735220277124
res,1,mmlu,programming,0.9918738759448565,0.7736007736002721,0.9918779861107133,0.0926611636463308,0.1696064008298973
res,2,empathetic_dialogue,math,0.5939809229485209,0.4693840880063144,0.5967157554405371,0.11517052266388962,0.2065523080519979
res,2,empathetic_dialogue,mmlu,0.8462050759729467,0.6077972155501548,0.8470485552486093,0.24696451174347195,0.3961051167337118
res,2,empathetic_dialogue,programming,0.7313313158841325,0.5871109381016042,0.7328809314845163,0.03955069281245746,0.07609189832860358
res,2,math,mmlu,0.7543397060224065,0.6356862051824769,0.756395554393202,0.27478687751931186,0.431110301439621
res,2,math,programming,0.7478190797450445,0.7042673115975832,0.7499526171325979,0.11722486183991257,0.20985007735481231
res,2,mmlu,programming,0.87534731622236,0.7528496580907346,0.8762506467291877,0.08771982849452481,0.16129121892709222
res,3,empathetic_dialogue,math,0.5213468760072241,0.4149126006139685,0.5241048576246131,0.1116898608947268,0.20093708654468595
res,3,empathetic_dialogue,mmlu,0.8913519609895726,0.5872395988412693,0.8917602380666789,0.24863504398191613,0.39825094639185393
res,3,empathetic_dialogue,programming,0.7530653252626193,0.5417753866502294,0.7541762652729007,0.03917616115117137,0.07539849857173989
res,3,math,mmlu,0.6718139025969622,0.5957911955780667,0.674482947076505,0.25020205868066264,0.4002585933104297
res,3,math,programming,0.7343756175978251,0.6891871424482474,0.7370189031108656,0.11408740638067094,0.20480871739014808
res,3,mmlu,programming,0.8861901588856255,0.7240505055040125,0.8869836569507611,0.08832379342729314,0.16231160976302542
res,4,empathetic_dialogue,math,0.6946535184721145,0.4364708386245887,0.6954760923559423,0.1227604059188405,0.21867605104648538
res,4,empathetic_dialogue,mmlu,0.8853547351304785,0.6192817792778622,0.8856491650727067,0.26973524767745016,0.4248684884047116
res,4,empathetic_dialogue,programming,0.7534767687961526,0.5865176147459064,0.7539604908359756,0.04034463304107291,0.0775601310560711
res,4,math,mmlu,0.9079750804945353,0.6275085962086618,0.9082069101498262,0.2874289984018154,0.4465162719786849
res,4,math,programming,0.9635232244008018,0.7025651445201428,0.9635511874485038,0.12345967685364884,0.21978479405582035
res,4,mmlu,programming,0.9485287470468016,0.7594923322046061,0.9486002452712325,0.0902201395640293,0.16550811398532345
